EnterLogin;123123123123Введите имя пользователя
EnterPassword;123123123123Введите пароль
Уровень_доступа_не_позволяет_авторизоваться;Уровень доступа не позволяет авторизоваться
Неверный_пароль;Неверный пароль
Недостаточно_ресурсов_на_складе;Недостаточно ресурсов на складе
Не_заполнены_данные;Не заполнены данные
Ассистагро;Ассистагро
Автоматическая_синхронизация_культуры;Автоматическая синхронизация культуры
Администратор_системы;Администратор системы
Войти;Войти
Балл_бонитета;Балл бонитета
Балл_бонитета_не_является_допустимым;Балл бонитета не является допустимым
Ботанические_классы;Ботанические классы
Вид_угодий;Вид угодий
Все;Все
Выполнить_сопоставление_идентификаторов_мониторинга;Выполнить сопоставление идентификаторов мониторинга
Выход;Выход
Выявлена_необходимость_списания_ТМЦ;Выявлена необходимость списания ТМЦ
Выявлена_необходимость_списания_ТМЦ_для_операций_0;Выявлена необходимость списания ТМЦ для операций: {0}
ГЛАВНАЯ;Главная
Группировка_для_принятия_решения;Группировка для принятия решения
Дата_сева;Дата сева
Дата_сева_с;Дата сева с
Дата_сева_по;Дата сева по
Дата_уборки;Дата уборки
Дата_уборки_с;Дата уборки с
Дата_уборки_по;Дата уборки по
Долгосрочная_аренда;Долгосрочная аренда
Домашняя_страница;Домашняя страница
КАДАСТРЫ;Кадастры
Краткосрочная_аренда;Краткосрочная аренда
Культура;Культура
Культура_как_ценности_общества;Культура
Метод_обработки;Метод обработки
Мониторинг;Мониторинг
Наименование_почвы;Наименование почвы
НАСТРОЙКИ;Настройки
Необходимо_произвести_списание;Необходимо произвести списание
Норма_семян;Норма семян, кг
Норма_удобрений;Норма удобрений, кг
Обнаруженная_фенофаза;Обнаруженная фенофаза
Образование;Образование
Общепит;Общепит
Обычный;Обычный
Одс;Одс
Онлайн;Онлайн
Операция_0_завершена;Операция {0} завершена
Отделение;Отделение
Отчеты;Отчеты
Планируемая_урожайность;Планируемая урожайность
Площадь;Площадь
Поле;Поле
Поля;Поля
Распознавание;Распознавание
СЕВООБОРОТ;Севооборот
Сезон;{0} (Сезон {1} - {0})
Слой_подразделение;Слой (подразделение)
Сорт;Сорт
Степень_эродированности;Степень эродированности
Структура_землепользования;Структура землепользования
Структура_посевных_площадей;Структура посевных площадей
Фактическая_урожайность;Фактическая урожайность
Разработано_ГЕОМИР;"©Разработано в ""Инженерный центр ""ГЕОМИР"""
Техническая_поддержка;Техническая поддержка
Google_Спутник;Google-Спутник
Вставить_ландшафт;Вставить_ландшафт
Индекс_NDVI;Индекс NDVI (30м)
Кадастровая_карта;Кадастровая карта
Вы_уверены_удалить;Удалить поля за все сезоны?  (да/нет)
Вы_хотите_пересчитать;Вы точно хотите пересчитать все участки?
Выбрать_файл;Выбрать {0} файл
га;га
Год;Год
Группа_полей;Группа полей
Загружается;Загружается ...
Загрузите_фото;Загрузите фото и мы распознаем культуру и её густоту, а также сорняки и прочие проблемы
Загрузить;Загрузить
Загрузить_участки;Загрузить участки
Кадастр;Кадастр
Культура_изменена;Культура изменена
Наименование_поля;Наименование поля...
Нейроинтерфейс;Нейроинтерфейс
Обрабатываемая_площадь;Обрабатываемая площадь
Обработка_данных;Обрабатываем данные. Пожалуйста немного подождите.
Общая_информация;Общая информация
Отмена;Отмена
Ошибка;Ошибка
Пересчитать;Пересчитать
Перетащите_фото_в_это_окно_или_нажмите;Перетащите фото в это окно или нажмите
План;План
Погода;Погода
Погода_недоступна;Погода недоступна
Поиск;Поиск
При_обработке_запроса_произошла_ошибка;При обработке запроса произошла ошибка
Сейчас;Сейчас
Точное_земледелие;Точное земледелие
Удалить;Удалить
Файл_не_выбран;Файл не выбран
Фильтровать;Фильтровать
Август;Август
Админ;Админ
Апрель;Апрель
Без_доступа;Без доступа
Введите_дату_завершения;Введите дату завершения
Введите_дату_начала;Введите дату начала
Введите_дату_окончания;Введите дату окончания
Введите_символы_для_поиска;Введите символы для поиска
Вероятность_осадков;Вероятность осадков
Виды_отчетов;Виды отчетов
Включить_все;Включить все
Внесение;Внесение
Вода;Вода
Водные_объекты;Водные объекты
Время_в_движении;Время в движении, ч
Вс;Вс
Вт;Вт
Вход;Вход
Вы_хотите_удалить_пользователя;Вы уверены, что хотите удалить пользователя?
Вы_хотите_удалить_цветовую_схему;Вы уверены, что хотите удалить цветовую схему?
Выбрать_фото;Выбрать фото
Выключить_все;Выключить все
Выполняемые;Выполняемые
Выполняется;Выполняется
Гербицид;Гербицид
Группировать_по;Группировать по:
Группировать_по_типам_операций;Группировать по типам операций
Д;Д
Дата;Дата
Номер_сеялки;Номер сеялки
Скорость_работы_агрегата;Скорость работы агрегата, км/ч
Дата_завершения_операции;Дата завершения операции
Дата_начала_операции;Дата начала операции
Дата_по;Дата по
Дата_с;Дата с
Даты_операции;Даты операции
Декабрь;Декабрь
До;До
Добавить;Добавить
Добавление_вредителя;Добавление вредителя
Добавить_модель;Добавить модель
Добавление_операции;Добавление операции
Добавить_производителя;Добавить производителя
Добавление_СЗР;Добавление СЗР
Добавление_технологической_карты;Добавление технологической карты
Дольше_чем;Дольше чем
Доступ;Доступ
Другое;Другое
Единицы_измерения;Единицы измерения
Животноводство;Животноводство
Жилье;Жилье
Завершена;Завершена
Завершенные;Завершенные
Завтра;Завтра
Загрузить_файл;Загрузить файл
Задания;Задания
Закрыть;Закрыть
Заливка;Заливка
Запланированные;Запланированные
Затраты_воды_на;Затраты воды на
Затраты_топлива_на;Затраты топлива на
Затраты_энергии_на;Затраты  энергии на
Изменение_вредителя;Изменение вредителя
Изменение_операции;Изменение операции
Изменение_СЗР;Изменение СЗР
Изменение_технологической_карты;Изменение технологической карты
Изменить;Изменить
Израсходовано_топлива;Израсходовано топлива
Имя;Имя
Инсектецид;Инсектицид
Информация_о_пользователе;Информация о пользователе
Информация_о_цветовой_схеме;Информация о цветовой схеме
Инфраструктура;Инфраструктура
Используемые_семена;Используемые семена
Используемые_химические_средства;Используемые химические средства
Июль;Июль
Июнь;Июнь
Категория;Категория
кг;кг
Килограммы;Килограммы
Кол_во;Кол-во
Количество;Количество
Комментарий;Комментарий
Линия;Линия
Литры;Литры
м;м
Май;Май
Максимальная_норма;Максимальная норма
Март;Март
мин;мин
Минимальная_норма;Минимальная норма
минут;минут
Название;Название
Название_вредителя;Название вредителя
Название_материала;Название материала
Название_обязательно_для_заполнения;Название обязательно для заполнения
Название_операции;Название операции
Название_СЗР_совпадает_с_существующим;Название СЗР совпадает с существующим!
Название_средств_защиты_растений;Название средств защиты растений
Название_технологической_карты;Название технологической карты
Название_технологической_карты_совпадает;Название технологической карты совпадает с существующей!
Не_определена;Не определена
Неделя;Неделя
Необходимо_указать_файл;Необходимо указать файл
необязательные_поля;(необязательные поля)
Непрозрачность;Непрозрачность
нет_данных;нет данных
Нет_общей_геометрии_у_выбранных_участков_объединение_невозможно;Нет общей геометрии у выбранных участков, объединение невозможно.
Нет_связи;Нет связи
Ноябрь;Ноябрь
Обработанная_площадь;Обработанная площадь
Объем_работ;Объем работ
Октябрь;Октябрь
Операция;Операция
Орудие;Орудие
Основные;Основные
От;От
Отчество;Отчество
Отчет_о_площади_и_урожайности;Отчет о площади и урожайности
Отчет_по_операциям_за_выбранный_интервал_дат;Отчет по операциям за выбранный интервал дат
Отчет_Структура_посевных_площадей;Отчет - Структура посевных площадей
Официальная_площадь;Официальная площадь
Пароль;Пароль
Партнер;Партнер
Партнеры;Партнеры
Период;Период
Планируемое_количество;Планируемое количество
Планируется;Планируется
Площадь_поля;Площадь поля
Площадь_урожайность;Площадь_урожайность
Пн;Пн
Поддерживаются_файлы_xlsx_Cropwise;Поддерживаются файлы .xlsx (Cropwise). Гос. номера техники, наименования участков, водителей и т.д. должны соответствовать наименованиям в Истории поля.
Подложка;Подложка
Подразделение;Подразделение
Подтип_операции;Подтип операции
Поиск_ТС_по_названию_типу;Поиск ТС по названию, типу
Показать_пароль;Показать пароль
Показывать_остановки;Показывать остановки
Показывать_только_контуры;Показывать только контуры
Поле_обязательно_для_заполнения;Поле обязательно для заполнения
Пользователь;Пользователь
Пройденный_путь;Пройденный путь
Просмотр;Просмотр
Пт;Пт
Раскрасить_по_культурам;Раскрасить по культурам
Расход_рабочего_раствора;Расход рабочего раствора
Расходные_материалы;Расходные материалы
Расходный_материал;Расходный материал
Расчетная_площадь;Расчетная площадь
Регулятор_роста;Регулятор роста
Рекомендуемая_норма;Рекомендуемая норма
Сб;Сб
Сев;Сев
Сегодня;Сегодня
Семена;Семена
Сентябрь;Сентябрь
СЗР;СЗР
Скорость;Скорость
Скорость_ветра;Скорость ветра
Сохранить;Сохранить
Список_операций;Список операций
Ср;Ср
Стандартный;Стандартный
Статус_операции;Статус операции
Статусу;Статусу
Стиль_линии;Стиль линии
Супер_пользователь;Супер пользователь
Технологическая_карта;Технологическая карта
Тип;Тип
Тип_материала;Тип материала
Тип_операции;Тип операции
Типу;Типу
Толщина_линии;Толщина линии
Топливо;Топливо
Треки;Треки
Тысяч_штук;Тысяч штук
Уборка;Уборка
Удобрения;Удобрения
Урожайность;Урожайность
Фактическое_количество;Фактическое количество
Фамилия;Фамилия
Февраль;Февраль
Фунгицид;Фунгицид
ц_га;ц/га
Цвет_заливки;Цвет заливки
Цвет_линии;Цвет линии
ч;ч
Чт;Чт
Чтение;Чтение
Чтение_и_запись;Чтение и запись
Ш;Ш
Энергия;Энергия
Январь;Январь
Настройки_успешно_сохранены;Настройки успешно сохранены!
Таблица_Главная;Таблица - Главная
