AlertTriggerError204;"The trigger created successfully; Failed  to select from database"
BugReportDesc;BugReportDesc
c;From
CantSelectAtSameTime;"You cannot select ""{0}"" and ""{1}"" simultaneously "
Cеялка;Seeder
cкачать;Download
Cмещение_шарнира_от_точки_крепления_антенны;Dislocation of the joint from the antenna attachment point
Cумма_часов_в_сменах_не_должна_первышать_24;The amount of hours in shifts should not exceed 24
EnterLogin;Please enter your username
EnterPassword;Please enter your password
Google_Спутник;Google-Satellite
NDVI;NDVI
NDVI_для_всех_клиентов;NDVI for all clients
NDVI_Контрастный;NDVI Contrast
NDVI_Нормальный;NDVI Normal
NDVI_объекта;NDVI of object
Ndvi_среднее;Average NDVI
SelectAtLeastOne;"You must select either ""{0}"" or ""{1}"""
Shapefile_help_text;Shapefile is usually three files with extensions <mark>.shp</mark>, <mark>.shx</mark> and <mark>.dbf</mark>
UpdateDataFormatAndStoreNameInDB;Update data format and store name for images in database
Август;August
Автобус;Bus
Автограф;Autograph
Автоматическая_синхронизация_культуры;Automatically culture synchronization
Автоматически_определять_тип_операции;Automatically determine operation type
Автоматический_расчет_обработанной_площади;Automatically calculate mileage and treated areas including mutual overlap
Автоматическое_добавление_новых_тревог_в_таблицу;Autoupdate alerts table every {0} seconds
Автообновление_тревог;Alerts autoupdate
Автор_заказа;Order Author
Авторизация;Authorization
Агрономическая;Agronomic
Агрообъекты;Agro-objects
Админ;Admin
Админ_расширенный;Admin extended
Администратор_системы;System admin
Администрирование;Management
Администрирование_клиента;Client administration
Администрирование_системы;System administration
Адрес;Address
Азот;Nitrogen
Активен;Active
Активное_действующее_вещество;Active substance
Активность;Activity
Активность_техники;Machine activity
Активные_маршруты;Active routes
Активные_сессии;Active sessions
Активные_слои;Active layers
АктыСписанияСемянИУдобрений;Acts of writing off seeds and fertilizers
Амортизация;Amortization
Апрель;April
Аренда;Rent
Аренда_на_карте;Rent on map
Арендная_плата_за_земельную_долю;Rent payment for land share
архив;Archive
Ассистагро;Assistagro
АХО;ACE
Базовые_слои;Base layers
Баланс_смс;SMS balance
Балл_бонитета;Bondability ball
Балл_бонитета_не_является_допустимым;The bonus score is not valid
Балл_бонитета_должен_быть_больше;Bondability ball should be higher than {1}
без;without
Без_документов;Without documents
Без_доступа;Without access/no access
Бензовоз;Gasoline tanker
Болезни;Diseases
Болезни_растений;Plant diseases
Больше_10_лет;Over 10 years
Бор;Boron
Борона;Harrow
Ботанические_классы;Botanical classes
Бригадный;Brigade
Брутто;Gross
Бункер;Bunker
Бункер_перегрузчик;Loading bin
в;in
в_ацп;in ADC
в_ед_изм;in units
В_производство;To manufacture
В_процессе_обновления_произошла_ошибка;Failed to update
В_списке_ролей_по_умолчанию;In default role list
В_том_числе_на_1_га;Including 1 acre
Валовый_сбор_ц;Gross yield, q
Варианты_расписания;Schedule options
Варианты_расписания_html;Schedule options html
Ваш_снимок_успешно_загружен;Your photo was successfully uploaded!
Введите_дату;Please enter the date
Введите_дату_завершения;Please enter the completion date
Введите_дату_изменения;Enter a modification date
Введите_дату_начала;Please enter the start date
Введите_дату_окончания;Please enter the end date
Введите_дату_появления_всходов;Enter date of appearance of standing
Введите_дату_сева;Please enter the sowing date
Введите_дату_уборки;Please enter the harvesting date
Введите_заголовок;Please enter the headline
Введите_наименование;Enter name
Введите_номер;Please enter the number
Введите_номер_участка;Please enter the field section number
Введите_производителя;Please enter the producer
Введите_символы_для_поиска;Please enter the search characters
Введите_текст_для_поиска_участка;Enter text to search a field section
Введите_текст_примечания;Enter note
Вверх;Up
Ведомость_движения_зерна_и_другой_продукции;Statement of movement of grain. SP-11
Величина_отклонения_NDVI_от_среднего_значения;NDVI deviation value from average
Вероятность_осадков;The possibility of precipitation
Вес;Weight
Весовая;Weight
Взвешивания_транспортных_средств;Weighing of vehicles
Вид_движения;Movement type
Вид_объекта;Agro-object kind
Вид_права;Type of right
Вид_права_на_земельный_участок;Type of land right
Вид_работ;Work Type
Вид_угодий;Type of lands
Вид_угодья;Type of land
Виды_отчетов;Types of reports
Визуальные_снимки;Satellite images
Включён;On
Включить_все;Include all
Влажность;Humidity
Влажность_воздуха;Air humidity
Внесение;Application
Внесение_семян;Seeding
Внесение_СЗР;Mirroring
Внесение_удобрений;Fertility introduction
Внесенное_количество_посевного_материала;The introduced amount of seed per day / total quantity, LB (ths pcs)
Внесено;Contributed
Внесено_удобрений;The amount of fertilizer applicated
Внешность;Appearance
Вниз;Down
Вносится;Introduced
Внутреннее_перемещение;Internal movement
Вода;Water
Водитель;Driver
Водные_объекты;Aquatic objects
Водородный_показатель;Acidity (PH)
Возможность_чтения_всех_прав;The ability to read all rights
Войти;Enter
Вопрос_по_плану;Apply the plan with the removal of the existing operations? Yes - all the existing transactions will be removed (including sub-operations and fitoanalyses) and the operations from the technological map will be added.No - operations from the technological map and existing operations will be united.
Восемь_настоящих_листьев;8 real leaves
Вредители;Vermins
Вредоносность;Pests
времени;Time
Время;Time
Время_в_движении;Movement time
Время_на_поле;Time on field
Время_простоя;Idle time
Выполнено_за_смену_га;Completed by shift, ha
Время_работы;Work time
Время_стоянок;Parking time
Вс;Sun
Все;All
Все_участки_клиента;All client's field sections
